uid,vote
de57d810ca6e48789eb42e23518785e7,3
9db97175e30f45eeb5ace134c3905df7,5
efd076f93f9142bba369896108cbad80,4
dfad2dbf7db0401bb4cad60f657ff765,4
ee25f381ae594e28a8028d48d8615435,2
78f9dd9242b549dc9d1c3d909b993677,1
7d2449443bab4ee7ad7e13b9de862bf6,3
12c930aa2a9946d0a3c3b275fcff75cc,1
244171a3822f4f83bd7c65b432fa93b2,1
88d039e59a8e4630a06e5b4e18f536cf,4
6256d796cbce4ca99eadb21baf46c4fa,1
e6ea88c205214637a9090d4ee1f03223,1
f5a932f9737d418f865cf5b64c252185,3
f57b9138ff96450e8d359304b15fc3de,4
fae168defe694f3cb5176e0b0b18bbb7,5
9680eb0737f442299300d8264536a210,3
52d39390a03a4c81824adf7309aac3de,5
dfe6212df82b4d2d911371c74f3f19a1,3
b4582246a1a444d9be24ff8219c0b7e9,1
6486bf024eea411eaf012f8c56c3abe3,2
9f4d6bc897b54c3492650d1036e4f10c,1
ac23acdb0bd54ab38ea72008f3312861,2
c83b4f7ba2c041e6ad13fa1ca298ba8f,1
ab83bfcbd82c4c5ab1e50f1db943b6f2,3
b40d2982994b485398208dcbd53277b8,2
e1e7d1406aa44c8da53497575a64114e,1
e73c9419f54c441da8822c79bcea67ca,3
1a1d2c20b1314db7af8f36e010875248,1
2c8f821005304a4ba270277d84c8e8e3,1
a8944daf20a249309af1224ce7466efc,1
b639159349884ac0ba2228f19e6fb83e,1
d26f8467123248318e53599c45e7b83f,1
de5e020cd32a4a0c9727d56db056d42e,3
f736eab236984156b767696fcbaaec58,2
9a4b0859a3484e2ebfbc9eb54537b5eb,3
54fd179cb30a414f81eceeb854343bf3,4
f465bdf8b97140d2ae02499a12b4471a,1
67a028c692454ab483b5efb7282107a7,1
4fa4cb751f184a70a72c84b41e9b79f0,1
b1f8f7a3e56144fe922a88b6da805202,1
7b0cc488bfcf4364a7faa1bc16ec3322,1
fb2055f0438c465dab83c68b9e9e5e5c,1
557e5755c71d497083d2b981cf97c2eb,3
922af34b8f284d299e93e7b0aedb907b,2
46365f2a2af646309df93f3b5881c91c,5
7df7110f01a543338780c3fc51126a7d,2
d51fcd44b74f4daf8012c41e0400c041,4
984be6e0a03642928f649d51bf322916,2
3b4e6e04520f44d8995fce292b6e34ff,4
a3190e860610441faf78014af4015958,4
2dbfbd3ed1934f498f7a058cdb036553,1
5712f4c959ef4877a381eea21e841646,3
bc35d532c60e4f5bace73a8932fa8fb6,4
fd21f14e09c5421981d4bc1ed95d1af8,3
24a2c109769249a6a25b14d85aa64194,1
72ef8420a6314e12a4d106e1bf28c6bc,3
63b84f5ce17d44e19bae353702006a51,2
d6451aa6327745bda2651a987365a6ff,1
ca1c51b48f4349d08d1fd10082269d3c,1
6c4022a7eadc46de823a3b4f77a23226,2
e86792acc37c450eb374c00b1ebcb0a1,1
a44f33e047b645c0a164e06f4ca4e24c,3
7d1d7fda8e0a445491ddff8634d8de95,5
b8039cb3a2fd42d7b8526f3a803132bd,1
8e37a9ac5ea34d59b8e251a3edc5e76b,2
cf28034b5c454979be72befa940eb321,1
b0724a973836452290213f019d325dbc,1
6c04b2c2c8004dc18817e522e5543589,2
33657ac0e044493daf495d45424ead7a,2
6d09315deddb4272b9b4af9f162e5e0e,1
d02f9b17ec68470389d058dc52f0aec5,2
e4de5d6e6d4c496fb44aac2f922f56eb,1
d53b232eab0048b48835c2caef28f44e,2
9a4136155fad423c9707255774e86bca,3
a131e7ba4cc440608cc271eaaa1033c0,1
89e6eec05895433e9e6b5f86b3cb6d82,3
17242169acdb44dcad83876e5a82872a,1
9d129a9b6c3e4066a72bfac9cbd974f2,1
95226a73526b46e680b091f1caf6191f,1
99dc0ed1ca1f48978dbc4f0d7bbe973f,2
132692dadd224717823f18dba2c0b48b,4
09a7646c10774bd8981c540e9a77497c,1
bd5f72f0da7449e5ae5ba250cdd128e9,1
b8dd43142a46407798840fe040526c51,2
da3112c3b425448498719c99fa6b6f50,4
92a103344ad64849bfca50ca860ea5f4,1
9c0fe3afda4a4bbeb66e482f79c1e070,4
6e2bffbd61ff473dbca7ed16a08c074e,1
3be9ac82a47e4639b7d0698e1697feb9,5
06c811cb16df48429e74456b74514f60,3
b767bf3e6faf46d6b4919254996cb163,1
c9479504398c4acf9e6be1af030a2cbe,1
8909452f183241f6822adab1b7ad1515,1
189b8f2a79004cf08641d33d5f2240bc,1
3d59c46f26944a9a98c450acf0951e3d,4
1ec410cec8f647e49f9a5884d7be8937,3
6c796bfa59e54fbd8dbd1c22c6d8a619,2
8bfe69d15e494d1ebe69b4821da1031d,3
d681450b84c145e7984b9cfc1f41841c,1
e7810274ae0942b4982ee0c04749a172,1
cf741f11e9e649b3973451f1511710b6,1
52ce20a029324bb0b4f2501bd6e3e399,2
d1a3a7ac26f24e0783ccc3bd457fbd40,2
e5bb1b0950d94ab692955740e2a18364,1
78fd168b655747c892589420a5fb9a35,1
5ac9868964044cf0aeaa1b52cdb7c5b9,4
db09f7d075e448dea7e12125e2ba8cca,1
984a9f13c6f94cf7a0f8474abafa9060,1
3a602469d7874d1397efa67182198705,5
1633d1972aa84b7891dc50cd6e83cd18,3
570e5f9d0c9749f8833685c7d7cfc881,3
1a0e9a6d893f43569ba477d56e8024c1,1
721dcdf92c754540a9fb297471215e45,1
cc67f4c193ec4a038323dd6a53de81cc,2
c7af0e6e666844f1875df76e712ed15a,1
65abeb76e8e846fe9ffb4b0eb05cc039,2
d2a5445dbbdd4112ba005f82180b534e,1
378aa4ef27b84035af32a341e772fb87,1
d39c43ac1fe14fdd82e0e292771766f8,3
fec60f730fce46718252293a83a10249,1
3db8fcd3a32344fd8ac556c5df18ab45,2
35c858609a254716ac65b9d9788bd48c,1
1158d84725284caab70eedd671753270,2
d4d1c751bdd14417a35ed79f285a8db6,1
8509a7f82665442592627940b7a1cfab,3
83160b90e2884f81a11ab948ff936413,1
2fa62a8f8683444ea3e93bf868d83516,1
6b185ba5b9a14375b7f6738729320a49,2
69d7142ad3af4658a463667c9ff0441b,1
3b9783a52c754dbba6f7e08bb27c89a3,3
e5c71a6a8a1b497ea1505fdddfa97b8b,3
d7e1578fdcf34411bdf8c0486bf224f1,1
aeb6cabc87df4fcba1a560d4113eb337,1
e595de5f0f16441b985bb81550ae85b7,4
af231c8cceb64f45b0e5389032ff0e9e,2
d4ca37ccf62b4ede86122b7544b64e2b,1
d8fb434efa074e6eb94ea348671d675e,1
5c9a6310502542b09aefde79a2399cdc,2
18c081f765854d249bb8dc580a1e9f7c,4
68cc9537575b4aa989645b0955d9e24b,2
16001814ab2b4794bdadfefd2eadd15d,2
dc5d8c922ada44cc87d4bd4f7d147929,2
454ed3d581ac4f929ff34022afa4c662,4
f6f6a6fdf74f4527b53687b34b97a6da,2
2ec891a24e2d44688d319cf791de94f2,1
