sha256,yolo_objects,yolo_objects_confidence,cap3D_caption,trellis_aesthetic_score,trellis_caption,aesthetic_score,fileIdentifier,source,license,fileType,metadata,mesh_filename,caption,avg_height_of_bbox,normalized_height_of_object,normalized_depth_of_object,normalized_width_of_object,normalized_wheelbase,category
a0a77f7783b2f0a48d718a0b31fc793d1c16c72beec0d826920a96baa94613bb,['car'],[0.95],Black Ford Crown Victoria,5.532259941101074,"[""Matte black four-door sedan with a boxy design, flat roof, black grille, rectangular headlights, tinted windows, black side mirrors and wheels, slightly protruding wheel arches, red tail lights, black bumpers, and small oval blue trunk badge."", ""Matte black sedan with boxy design, rectangular headlights, and blue trunk badge."", ""A black boxy sedan with flat roof and rectangular headlights."", ""Four-door matte black sedan with blue trunk badge."", ""Matte black sedan with black wheels and blue badge."", ""Black sedan with tinted windows and blue badge."", ""Boxy black sedan with black grille and wheels."", ""Black four-door sedan with red tail lights."", ""Matte black sedan with rectangular headlights."", ""Black sedan with blue trunk badge."", ""Black sedan, blue badge.""]",4.092780113220215,https://sketchfab.com/3d-models/76d7f3373a5548ef86821c95c68fbe55,sketchfab,Creative Commons - Attribution,glb,{},76d7f3373a5548ef86821c95c68fbe55.glb,"The images depict a three-dimensional rendering of a black sedan, characterized by its sleek and classic design. Here are the notable characteristics:

1. **Type of Car**: This appears to be a full-sized sedan, commonly known for spacious interiors and comfort, possibly resembling older police vehicles or executive cars.

2. **Color**: The car is predominantly black, with some accents that lend a sophisticated look. The rear lights are stylized in red, adding a subtle contrast.

3. **Quality of Objects**: The rendering quality is high, indicating smooth textures and well-defined edges. The surfaces appear polished, suggesting a realistic finish.

4. **Details**:
   - The front view shows a large grille and headlights, embodying a conventional sedan front face.
   - The side view displays a balanced silhouette with distinct wheel designs, indicative of a sturdy structure.

5. **Interior and Features**: While the interior isn't visible, the design implies ample cabin space, possibly with a focus on comfort and functionality.

Overall, this car rendering emphasizes classic design elements combined with modern graphical quality, making it visually appealing.",131.5,1.0,3.592,1.4734848484848484,2.0505599365234377,Sedan
4f0e8fe23f6bdc119ee773c3e7f796e90ee41fed1066be8a58d215599849c74c,['car'],[0.88],Blue Volkswagen Beetle,6.863235950469971,"[""A classic Volkswagen Beetle with a rounded body, teal blue and cream beige two-tone color scheme, chrome bumpers and accessories, white-walled tires with chrome hubcaps, round headlights and taillights with chrome borders, and black-tinted windows outlined in chrome."", ""A teal-blue Volkswagen Beetle with cream-beige stripes, chrome accessories, and black-tinted windows."", ""Classic Volkswagen Beetle, teal-blue, cream-beige, chrome bumpers, and black windows."", ""Teal and cream Volkswagen Beetle with chrome details and black windows."", ""Vintage Beetle in teal and cream with chrome features."", ""Two-tone blue-and-cream Beetle with chrome elements."", ""Classic Beetle with chrome elements and black windows."", ""Blue and beige Volkswagen Beetle with chrome."", ""Two-tone Volkswagen Beetle with chrome."", ""Vintage teal and cream Beetle."", ""Blue Beetle, black windows.""]",4.495290756225586,https://sketchfab.com/3d-models/66d536cb4799441bab6270d569d32c42,sketchfab,Creative Commons - Attribution,glb,{},66d536cb4799441bab6270d569d32c42.glb,"The car depicted in the images is a classic Volkswagen Beetle, rendered in 3D with notable characteristics:

1. **Color**: The body has a two-tone paint scheme, primarily featuring a soft shade of blue on the top part, contrasting with a beige lower section. This combination gives it a vintage yet appealing look.

2. **Design**: The overall shape is rounded, characteristic of the Beetle's iconic silhouette. The front features large round headlights and a smooth, streamlined hood, while the rear boasts gentle curves.

3. **Quality**: The 3D rendering seems to showcase a high level of detail, with well-defined lines and reflections that mimic real-world materials. The chrome accents, particularly on the bumpers and around the headlights, contribute to a polished finish.

4. **Wheels**: The car has classic whitewall tires, enhancing its retro aesthetic. They are coupled with distinct steel rims that add to the overall vintage vibe.

5. **Type**: This vehicle exemplifies a coupe style, characterized by its two-door design and a compact frame, typical for cars from the mid-20th century.

Overall, the car successfully encapsulates a nostalgic essence associated with classic automobiles while displaying detailed craftsmanship in the rendering.",179.8125,1.0,2.5935672514619883,1.1745152354570638,1.611789457979258,Coupe
5a60c7a3e95d1616d84d677ab065fd1220788f4833eed55170d0962a696cb0d5,['car'],[0.95],a Dodge Charger SXT,5.771934509277344,"[""A modern red sedan with black trims, slim headlights wrapping around front corners, horizontal bar grille, integrated red bumpers, four doors, tinted windows, black multi-spoke sporty wheels, wide rear taillights with horizontal strip, slight aerodynamic curves, and a black shark-fin antenna."", ""A modern red sedan with black trims, sporty wheels, and aerodynamic curves."", ""Red sedan with black trims, sporty wheels, and slight aerodynamic features."", ""Modern red sedan with black multi-spoke wheels and slim headlights."", ""Red car with black trims, tinted windows, and wide taillights."", ""Sporty red sedan with black features and aerodynamic design."", ""Red sedan with black trim, sporty wheels."", ""Aerodynamic red sedan with black features."", ""Sporty red and black sedan."", ""Red sedan, black details."", ""Red, black sedan.""]",4.033426761627197,https://sketchfab.com/3d-models/d72548ce431c45809418af01ee93c096,sketchfab,Creative Commons - Attribution,glb,{},d72548ce431c45809418af01ee93c096.glb,"The 3D car renderings showcase a sleek sedan with several notable characteristics:

- **Type**: The car appears to be a modern sedan, likely a sports variant, as suggested by its design elements.
- **Color**: It features a vibrant red paint job that provides a dynamic and sporty appearance.
- **Front View**: The front showcases a bold grille with horizontal slats, flanked by sleek headlights, giving it an aggressive look.
- **Side View**: From the side, the car has a streamlined silhouette with a slightly sloping roofline, enhancing its aerodynamic profile. It is equipped with large, multi-spoke black alloy wheels, which add to its sporty aesthetic.
- **Rear View**: The rear of the car features distinctive taillights and a clean trunk design, along with dual exhaust outlets that suggest a performance-oriented build.
- **Interior**: While the interior details are not prominently featured, the windows show a light-colored interior that complements the exterior color.

Overall, the quality of the renderings appears high, with smooth surfaces and clear details that give it a realistic look. The combination of color and design points to a car designed for both style and performance.",147.625,1.0,3.210144927536232,1.391304347826087,2.097391239110974,Sedan
5b126f4af8a10c06c3bbe1a9b1998eb395b9072c278b3f298b5e7ffd16809928,"['car', 'truck', 'bus']","[0.95, 0.75, 0.39]",Small yellow car model,6.822061538696289,"[""A yellow compact hatchback car with a streamlined, aerodynamic design, rectangular headlights, black side moldings, white multi-spoke wheels, vertical red taillights, rear spoiler, and smoothly transitioning roofline from front to back."", ""Yellow compact hatchback car with aerodynamic design, black moldings, and white wheels."", ""Yellow hatchback with rectangular headlights, black side moldings."", ""Compact car with white multi-spoke wheels and vertical red taillights."", ""Yellow car with streamlined design and rear spoiler."", ""Hatchback with aerodynamic design and smoothly transitioning roofline."", ""Compact car with rectangular headlights and white wheels."", ""Yellow hatchback with vertical red taillights."", ""Aerodynamic car with rear spoiler."", ""Streamlined yellow hatchback."", ""Yellow compact car.""]",4.0381364822387695,https://sketchfab.com/3d-models/f57b9138ff96450e8d359304b15fc3de,sketchfab,Creative Commons - Attribution,glb,{},f57b9138ff96450e8d359304b15fc3de.glb,"The car rendered in the images appears to be a compact hatchback, characterized by its modern, sporty design. Here are some of its notable features:

### Characteristics:
- **Type**: Compact hatchback
- **Color**: The predominant color is a vibrant yellow, giving it a cheerful and sporty appearance.
- **Wheels**: The car features white alloy wheels with a distinctive design, adorned with red accents that add to its sporty appeal.
- **Body Shape**: The body is compact with smooth curves, showcasing a streamlined profile that enhances aerodynamics.

### Front View:
- The front has a sleek design with integrated headlights and a wide bumper, emphasizing a sporty stance.
- The windshield is slightly angled, contributing to a modern aesthetic.

### Side View:
- The car has a distinctive side profile with a rising beltline and a slightly sloped roof that adds to the sporty look.
- The windows provide a clear view into the interior, which features dark seating.

### Rear View:
- The back features a straightforward design with prominent tail lights that hint at performance.
- There’s a dual exhaust tip, suggesting a more powerful engine or sporty styling.

### Quality:
- The rendering appears to have high-quality textures and shading, giving the car a polished, realistic look.
- The reflections on the car's surface suggest a well-lit environment, enhancing the overall visual appeal.

Overall, the car design exudes a blend of sportiness and practicality, suitable for urban environments.",185.5625,1.0,2.5485714285714285,1.3458445040214475,1.7658513532366071,Hatchback
654e96a4a1fb30c8f13ad4e692c85cdb6826088a1b3eb7d7a0f686797801ea6e,['car'],[0.96],a silver sports car.,6.064985275268555,"[""A sleek, classic sports car with a low, aerodynamic body, long hood, circular recessed headlights, minimalist bumper, two doors, pronounced wheel arches, sloping roofline, multi-spoke alloy rims, low-profile tires, metallic dark gray color, and tinted windows."", ""Classic sports car with aerodynamic body, long hood, and recessed headlights."", ""Dark gray sports car with minimalist bumper and alloy rims."", ""Sleek, low car with pronounced wheel arches and sloping roofline."", ""Two-door coupe with metallic dark gray color and tinted windows."", ""Low-profile, aerodynamic sports car with long hood."", ""Dark gray car with circular headlights and alloy rims."", ""Sleek vehicle with pronounced arches and sloping roof."", ""Two-door, aerodynamic dark gray car."", ""Low-profile sports car with long hood."", ""Dark gray sports car.""]",4.256061553955078,https://sketchfab.com/3d-models/2e8630e7c085464cb332cec0f5faaef0,sketchfab,Creative Commons - Attribution,glb,{},2e8630e7c085464cb332cec0f5faaef0.glb,"The car depicted in the images is a stylized, 3D-rendered sports car, characterized by its sleek and aerodynamic design. 

### Characteristics:
- **Type**: The model appears to resemble a classic sports car, likely inspired by vintage Japanese design.
- **Color**: The primary color is a glossy, dark gray, which has a reflective quality, enhancing its modern and polished look. Some images also show lighter accents and highlights, particularly in the front and back.
- **Wheels**: The car is equipped with sport rims that have a stylish design, featuring black and silver hues. The brake calipers are visible, adding a sporty flair.
- **Body Style**: The coupe body style is low and wide, designed for better aerodynamics, which is typical for performance-oriented vehicles.
- **Details**: The front of the car features round headlights and a prominent grille, giving it an aggressive front stance. The rear end displays distinct taillight shapes and a sporty exhaust tip, further enhancing its performance image.
- **Interior**: While the interior is not detailed in the images, hints of racing elements like bucket seats or a roll cage structure can be inferred from the design and visibility into the cabin.

### Quality:
- The overall quality of the render is high, exhibiting detailed textures and realistic shading. The reflections and highlights suggest advanced rendering techniques, showcasing high-quality modeling and rendering capabilities.

This vehicle combines classic aesthetics with modern performance cues, making it an interesting subject",138.1875,1.0,3.404580152671756,1.6205673758865249,2.0577708819440304,Sports Car
f2997e625b9dc3a4317b37364b538ff2e29a993b09f21f7cde116ffed7b21dbe,['car'],[0.87],Red Porsche Cayenne an SUV sports car.,5.824160575866699,"[""Red Porsche Cayenne Turbo SUV with glossy finish, black accents, four doors, six windows, oval headlights, small grille, rectangular taillights, dual exhaust, silver alloy wheels, and integrated sunroof."", ""Red Porsche Cayenne Turbo SUV with glossy finish and black accents, featuring four doors, six windows, and oval headlights."", ""Porsche Cayenne Turbo SUV, glossy red, black accents, four doors, oval headlights."", ""Glossy red Porsche Cayenne with black accents and four doors."", ""Red Porsche Cayenne Turbo with four doors and windows."", ""Glossy Porsche Cayenne SUV, red with black accents."", ""Red Porsche Cayenne SUV with oval headlights."", ""Red Porsche Cayenne with four doors."", ""Glossy red Porsche Cayenne."", ""Red Porsche Cayenne."", ""Red Porsche.""]",4.167290687561035,https://sketchfab.com/3d-models/efa5a8bf098e42fc9bd357b034c7f689,sketchfab,Creative Commons - Attribution,glb,{},efa5a8bf098e42fc9bd357b034c7f689.glb,"The 3D renderings depict a luxury SUV with the following characteristics:

- **Type**: The car is an SUV, likely representing a sporty luxury model.
- **Color**: It features a striking metallic red finish, giving it a bold and vibrant appearance.
- **Quality**: The overall quality of the renderings is high, with detailed textures that convey a realistic look. The reflections on the car's surface suggest a polished finish.
- **Design Features**: 
  - **Front**: The front view showcases a sleek grille design and rounded headlights, typical of luxury vehicles.
  - **Rear**: The back has a distinctive tailgate design with prominent taillights and dual exhaust tips, emphasizing its sporty nature.
  - **Wheels**: The car has large, multi-spoke alloy wheels with noticeable red brake calipers peeking through, enhancing the sporty aspect.
- **Interior**: The interior hints at luxury, with upholstered seats visible through the windows.

Overall, the car represents a blend of elegance and sportiness typical of high-end automotive designs.",177.0,1.0,2.667664670658682,1.2745098039215683,1.7297245642382229,SUV
0075272ea45f9d49edd2caaead93b29cac046ec537ef8c59344ca5ec4c827a65,['car'],[0.95],a grey Audi R8 sports car,6.060274600982666,"[""A low, sleek, matte grey two-door sports car with small streamlined mirrors, tapered headlights, wide grille, air intakes on doors, large detailed rims, horizontal wraparound taillights, dual exhaust outlets, and a bulged rear engine cover."", ""Matte grey two-door sports car with sleek design, small streamlined mirrors, wide grille, air intakes, large rims, wraparound taillights."", ""Sleek, matte grey sports car with streamlined mirrors, wide grille, air intakes, large rims, and wraparound taillights."", ""Grey two-door sports car with sleek design, small mirrors, wide grille, large rims, and wraparound taillights."", ""Low and sleek grey sports car with wide grille, air intakes, large rims, and wraparound taillights."", ""Grey sports car with wide grille, large rims, and wraparound taillights."", ""Two-door grey car with wide grille, large rims, wraparound taillights."", ""Grey car with wide grille, large rims, taillights."", ""Sporty grey car with large rims, grill, taillights."", ""Grey sports car with large rims, lights."", ""Grey sports car, rim, lights.""]",4.12581205368042,https://sketchfab.com/3d-models/ab4565513b2b47148a5051a4dce70314,sketchfab,Creative Commons - Attribution,glb,{},ab4565513b2b47148a5051a4dce70314.glb,"The 3D renderings depict a sleek, modern sports car characterized by its aerodynamic shape and attention to detail. 

### Characteristics:
- **Body Style**: The car features a low-profile design typical of sports cars, emphasizing speed and performance.
- **Color**: It appears to be rendered in a gradient black/grey color, giving it a matte finish that enhances its sporty aesthetic.
- **Wheels**: The wheels are depicted as large with a multi-spoke design, adding to the car's aggressive look.
- **Headlights and Grille**: The front includes stylized headlights and a prominent grille, suggesting advanced engineering and style.
- **Windows**: The windows are shown with a subtle tint, contributing to the overall sleek appearance.

### Quality:
- The surfaces of the car render are smooth, indicating high-quality modeling and texturing.
- The designs are sharp and well-defined, suggesting a level of realism expected in modern 3D renderings.

### Type:
- This model can be identified as a sports car, likely symbolizing power and performance, aimed at enthusiasts looking for speed and luxury.

Overall, the combination of color, shape, and detailing presents a striking and professional rendition of a sports car ideal for high-performance driving.",123.6875,1.0,3.3227091633466137,1.7530364372469636,2.2397448779102342,Sports Car
9d52205eb92cb85bfbe3f98890512ac222092a25b42ab1364caf9ffcb368ad2c,['car'],[0.97],a blue Ford Mustang GT sports car.,6.47440242767334,"[""A sleek, bright blue modern muscle car with smooth curves, narrow headlights, tinted windows, large alloy wheels, vertical tail lights, a slightly sloped hood, integrated grill, black side mirrors, and sports seats in a reddish color."", ""Bright blue modern muscle car with sloping hood, narrow headlights and sports seats."", ""Blue contemporary muscle car with sleek curves, large wheels and tinted windows."", ""Modern muscle car with sloped hood, large wheels and sports seats."", ""Blue muscle car with narrow headlights, bold wheels, and sports seats."", ""Sleek blue car with large wheels and tinted windows."", ""Modern car with sports seats and large wheels."", ""Blue car with sloped hood and large wheels."", ""Bright blue car with sports seats."", ""Blue car with large wheels."", ""Blue muscle car.""]",3.987857341766357,https://sketchfab.com/3d-models/2d3adbb1be6744b98546981abf2dc6a3,sketchfab,Creative Commons - Attribution,glb,{},2d3adbb1be6744b98546981abf2dc6a3.glb,"The 3D renderings depict a sports car characterized by its sleek, aerodynamic design. Here are the key features:

- **Color**: The car is primarily painted in a vibrant blue, giving it a striking appearance. Accents in the form of red are visible on the wheels and interior, adding a sporty contrast.
- **Body Type**: This vehicle appears to be a coupe, featuring a low and elongated silhouette typical of performance-oriented designs. The car has a two-door structure, emphasizing its sporty nature.
- **Wheels**: The wheels are large and aggressive, featuring a multi-spoke design with a shiny metallic finish and red accents. This contributes to the overall sporty aesthetic.
- **Front Design**: The front view showcases a bold grille that conveys a sense of power, with sharp headlights flanking it. The smooth curves of the hood lead to a streamlined profile.
- **Side Profile**: From the side, the car exhibits a fluid profile with a sloping roofline that enhances its sporty look and reduces drag.
- **Rear Design**: The rear exhibits distinct taillights, likely utilizing modern LED elements, and a clean layout that complements the overall design.
- **Interior Styling**: The car seems to have a sport-oriented interior, visible through the windows, with red seats that enhance the interior appeal.

Overall, the quality of the object appears high, with attention to detail in both the exterior and interior components, making it a visually striking model of a",143.6875,1.0,3.208029197080292,1.5874125874125875,1.999182513160427,Coupe
833fe4023d935c62647aa08b02248d64445e7b9f18fee753ce418eaba25633ab,"['firehydrant', 'car', 'truck']","[0.39, 0.87, 0.59]",a red and black race car,6.648731231689453,"[""A bright red race car with an aerodynamic design, open cockpit, black interior, white wheels, white rear spoiler, headlights, front air vents, rearview mirrors, arched engine cover, wide rear fenders, side skirts, and a smooth underbody."", ""Red race car with aerodynamic design, open cockpit, and white details."", ""Bright red race car with white wheels and aerodynamic design."", ""Aerodynamic race car with open cockpit and black interior."", ""Red race car with white rear spoiler and wheels."", ""Car with headlights, air vents, and rearview mirrors."", ""Open cockpit race car with aerodynamic design."", ""Race car with smooth underbody and side skirts."", ""Bright red car with white wheels."", ""Red car with aerodynamic design."", ""Race car.""]",4.181937217712402,https://sketchfab.com/3d-models/15938b7dd7a6443f8456f08a6a9f7e7c,sketchfab,Creative Commons - Attribution,glb,{},15938b7dd7a6443f8456f08a6a9f7e7c.glb,"The car depicted in the images is a stylized 3D rendering resembling a race car, characterized by its sleek, aerodynamic design. 

### Characteristics:
- **Type**: It appears to be a racing car, potentially a prototype or sports car, designed for high-speed performance.
- **Color**: The dominant color is a bright red, giving it a bold and dynamic look. The accents and parts appear to be either white or a lighter red hue.
- **Wheels**: The wheels are designed with a five-spoke pattern and are white, likely indicating a lightweight design for enhanced speed.
- **Structure**: The car has a low profile with a pronounced rear wing, which suggests a focus on downforce and stability at high speeds. The front end is pointed and aerodynamic.
- **Finish Quality**: The surfaces appear smooth and clean, indicative of a high-quality 3D render, with a clear emphasis on the vehicle's contours and lines.

### Design Elements:
- **Exhaust**: The rear features multiple exhaust pipes, typical of high-performance vehicles.
- **Aerodynamics**: Various aerodynamic elements, such as a rear wing and front air intakes, are present to improve performance.
- **Cockpit**: The absence of a full cockpit suggests it may be a conceptual design or rendering, focusing more on the overall form of the car rather than detailed interior features.

Overall, the car embodies a modern and aggressive racing aesthetic, aimed at evoking speed and",157.3125,1.0,3.273333333333333,1.8006430868167205,1.923839848836263,race car
8814c02603e445468158884ecfcace816958009b8569903cc39b1397855cdea8,"['skateboard', 'truck']","[0.95, 0.36]",a red racing car and a red skateboard in the air.,7.071020603179932,"[""A vintage, red, single-seater race car with a streamlined body, number \""12\"" in white, blue cockpit seat, brown steering wheel, black tires, grey rims, visible exhaust pipes, and a rounded rear end."", ""Vintage red race car with white 12, blue cockpit, and grey rims."", ""Single-seater red car with white number 12 and blue cockpit."", ""Vintage, red, streamlined race car with spiked rims."", ""Red vintage car with white 12 and noticeable exhaust pipes."", ""Classic red race car with blue seating and number 12."", ""Streamlined red racing car with white 12."", ""Vintage red car with a blue cockpit."", ""Red racer numbered 12 with grey rims."", ""Red race car with number 12."", ""Red 12 race car.""]",4.516983985900879,https://sketchfab.com/3d-models/9c0fe3afda4a4bbeb66e482f79c1e070,sketchfab,Creative Commons - Attribution,glb,{},9c0fe3afda4a4bbeb66e482f79c1e070.glb,"The car depicted in the renderings is a classic racing vehicle, characterized by a streamlined, aerodynamic design typical of vintage race cars. Here are the specifics based on the images:

1. **Color**: The car is predominantly red, with white accents. The number ""12"" is prominently displayed on the body in white.

2. **Type**: This appears to be a single-seater race car, reminiscent of classic Formula racing vehicles from the mid-20th century. Its design reflects a focus on lightweight construction and high-speed performance.

3. **Quality of Objects**: The car has a polished and well-defined surface, showcasing high-quality 3D modeling. The wheels are rendered with a distinct texture, contrasting the smooth body of the car.

4. **Characteristics**:
   - **Front View**: The front features a rounded, slightly pointed nose and a distinctive grill, contributing to its retro racing aesthetic.
   - **Side View**: From the side, the car shows a low-slung silhouette with a comfortable cockpit that has an understated steering wheel, embracing a vintage racing style.
   - **Overall Shape**: The overall design suggests an emphasis on speed and performance, with curvy lines that enhance its aerodynamic profile.

5. **Wheels and Tires**: The tires are large, providing a robust look, and the wheel rims have a detailed spoke pattern, adding to the car's authenticity.

This combination of features exemplifies the classic racing cars of its era,",132.3125,1.0,3.417322834645669,1.7727272727272727,2.002393587367741,race car
